Center,steering_val
C:\Users\Suneel\Documents\TIHAN\eVerito\Lane\DataCollected/IMG16\Image_1652948609454196.jpg,-211.026733
C:\Users\Suneel\Documents\TIHAN\eVerito\Lane\DataCollected/IMG16\Image_1652948609706493.jpg,-211.335449
C:\Users\Suneel\Documents\TIHAN\eVerito\Lane\DataCollected/IMG16\Image_165294860995934.jpg,-210.719116
C:\Users\Suneel\Documents\TIHAN\eVerito\Lane\DataCollected/IMG16\Image_1652948610211963.jpg,-210.58728
C:\Users\Suneel\Documents\TIHAN\eVerito\Lane\DataCollected/IMG16\Image_1652948610461523.jpg,-211.335449
C:\Users\Suneel\Documents\TIHAN\eVerito\Lane\DataCollected/IMG16\Image_1652948610714599.jpg,-211.026733
C:\Users\Suneel\Documents\TIHAN\eVerito\Lane\DataCollected/IMG16\Image_16529486109666.jpg,-219.209351
C:\Users\Suneel\Documents\TIHAN\eVerito\Lane\DataCollected/IMG16\Image_1652948611215773.jpg,-239.707642
C:\Users\Suneel\Documents\TIHAN\eVerito\Lane\DataCollected/IMG16\Image_1652948611469857.jpg,-243.974731
C:\Users\Suneel\Documents\TIHAN\eVerito\Lane\DataCollected/IMG16\Image_1652948611718392.jpg,-243.886841
C:\Users\Suneel\Documents\TIHAN\eVerito\Lane\DataCollected/IMG16\Image_1652948611971448.jpg,-250.704956
C:\Users\Suneel\Documents\TIHAN\eVerito\Lane\DataCollected/IMG16\Image_1652948612226504.jpg,-252.859375
C:\Users\Suneel\Documents\TIHAN\eVerito\Lane\DataCollected/IMG16\Image_1652948612477561.jpg,-255.191772
C:\Users\Suneel\Documents\TIHAN\eVerito\Lane\DataCollected/IMG16\Image_1652948612730054.jpg,-260.425659
C:\Users\Suneel\Documents\TIHAN\eVerito\Lane\DataCollected/IMG16\Image_1652948612984113.jpg,-264.824585
C:\Users\Suneel\Documents\TIHAN\eVerito\Lane\DataCollected/IMG16\Image_165294861323748.jpg,-264.076416
C:\Users\Suneel\Documents\TIHAN\eVerito\Lane\DataCollected/IMG16\Image_1652948613487553.jpg,-264.385132
C:\Users\Suneel\Documents\TIHAN\eVerito\Lane\DataCollected/IMG16\Image_1652948613755713.jpg,-264.120361
C:\Users\Suneel\Documents\TIHAN\eVerito\Lane\DataCollected/IMG16\Image_165294861400567.jpg,-264.341187
C:\Users\Suneel\Documents\TIHAN\eVerito\Lane\DataCollected/IMG16\Image_1652948614258745.jpg,-264.956421
C:\Users\Suneel\Documents\TIHAN\eVerito\Lane\DataCollected/IMG16\Image_1652948614509838.jpg,-264.692749
