Center,steering_val
C:\Users\Suneel\Documents\TIHAN\eVerito\Lane\DataCollected/IMG18\Image_165294865632532.jpg,-181.818481
C:\Users\Suneel\Documents\TIHAN\eVerito\Lane\DataCollected/IMG18\Image_1652948656578869.jpg,-181.422974
C:\Users\Suneel\Documents\TIHAN\eVerito\Lane\DataCollected/IMG18\Image_1652948656832442.jpg,-182.215088
C:\Users\Suneel\Documents\TIHAN\eVerito\Lane\DataCollected/IMG18\Image_1652948657081308.jpg,-181.159302
C:\Users\Suneel\Documents\TIHAN\eVerito\Lane\DataCollected/IMG18\Image_1652948657333319.jpg,-182.127197
C:\Users\Suneel\Documents\TIHAN\eVerito\Lane\DataCollected/IMG18\Image_1652948657581975.jpg,-181.247192
C:\Users\Suneel\Documents\TIHAN\eVerito\Lane\DataCollected/IMG18\Image_165294865783114.jpg,-184.06189
C:\Users\Suneel\Documents\TIHAN\eVerito\Lane\DataCollected/IMG18\Image_1652948658079665.jpg,-188.636597
C:\Users\Suneel\Documents\TIHAN\eVerito\Lane\DataCollected/IMG18\Image_1652948658328809.jpg,-195.587646
C:\Users\Suneel\Documents\TIHAN\eVerito\Lane\DataCollected/IMG18\Image_1652948658577885.jpg,-198.753906
C:\Users\Suneel\Documents\TIHAN\eVerito\Lane\DataCollected/IMG18\Image_1652948658828851.jpg,-199.062622
C:\Users\Suneel\Documents\TIHAN\eVerito\Lane\DataCollected/IMG18\Image_1652948659076825.jpg,-202.140991
C:\Users\Suneel\Documents\TIHAN\eVerito\Lane\DataCollected/IMG18\Image_1652948659327813.jpg,-202.449707
C:\Users\Suneel\Documents\TIHAN\eVerito\Lane\DataCollected/IMG18\Image_1652948659576371.jpg,-201.877319
C:\Users\Suneel\Documents\TIHAN\eVerito\Lane\DataCollected/IMG18\Image_1652948659826879.jpg,-202.22998
C:\Users\Suneel\Documents\TIHAN\eVerito\Lane\DataCollected/IMG18\Image_1652948660075301.jpg,-201.877319
C:\Users\Suneel\Documents\TIHAN\eVerito\Lane\DataCollected/IMG18\Image_1652948660321878.jpg,-201.877319
C:\Users\Suneel\Documents\TIHAN\eVerito\Lane\DataCollected/IMG18\Image_1652948660571294.jpg,-202.581543
C:\Users\Suneel\Documents\TIHAN\eVerito\Lane\DataCollected/IMG18\Image_1652948660825571.jpg,-201.745483
C:\Users\Suneel\Documents\TIHAN\eVerito\Lane\DataCollected/IMG18\Image_1652948661073527.jpg,-202.097046
C:\Users\Suneel\Documents\TIHAN\eVerito\Lane\DataCollected/IMG18\Image_1652948661323818.jpg,-202.493652
C:\Users\Suneel\Documents\TIHAN\eVerito\Lane\DataCollected/IMG18\Image_1652948661574168.jpg,-203.108887
C:\Users\Suneel\Documents\TIHAN\eVerito\Lane\DataCollected/IMG18\Image_165294866182448.jpg,-203.461548
C:\Users\Suneel\Documents\TIHAN\eVerito\Lane\DataCollected/IMG18\Image_1652948662075996.jpg,-201.393921
C:\Users\Suneel\Documents\TIHAN\eVerito\Lane\DataCollected/IMG18\Image_1652948662329415.jpg,-192.903687
C:\Users\Suneel\Documents\TIHAN\eVerito\Lane\DataCollected/IMG18\Image_1652948662579978.jpg,-172.141724
C:\Users\Suneel\Documents\TIHAN\eVerito\Lane\DataCollected/IMG18\Image_1652948662827808.jpg,-150.366821
C:\Users\Suneel\Documents\TIHAN\eVerito\Lane\DataCollected/IMG18\Image_1652948663076826.jpg,-95.935059
C:\Users\Suneel\Documents\TIHAN\eVerito\Lane\DataCollected/IMG18\Image_1652948663325794.jpg,-72.225464
C:\Users\Suneel\Documents\TIHAN\eVerito\Lane\DataCollected/IMG18\Image_1652948663575874.jpg,-38.22168
C:\Users\Suneel\Documents\TIHAN\eVerito\Lane\DataCollected/IMG18\Image_165294866382754.jpg,-35.626709
C:\Users\Suneel\Documents\TIHAN\eVerito\Lane\DataCollected/IMG18\Image_1652948664076781.jpg,-35.538818
C:\Users\Suneel\Documents\TIHAN\eVerito\Lane\DataCollected/IMG18\Image_1652948664325789.jpg,-34.614868
C:\Users\Suneel\Documents\TIHAN\eVerito\Lane\DataCollected/IMG18\Image_1652948664576556.jpg,-34.307251
C:\Users\Suneel\Documents\TIHAN\eVerito\Lane\DataCollected/IMG18\Image_1652948664826657.jpg,-23.265991
C:\Users\Suneel\Documents\TIHAN\eVerito\Lane\DataCollected/IMG18\Image_1652948665074838.jpg,13.904053
C:\Users\Suneel\Documents\TIHAN\eVerito\Lane\DataCollected/IMG18\Image_165294866532578.jpg,40.781006
C:\Users\Suneel\Documents\TIHAN\eVerito\Lane\DataCollected/IMG18\Image_1652948665574835.jpg,62.84375
C:\Users\Suneel\Documents\TIHAN\eVerito\Lane\DataCollected/IMG18\Image_165294866582889.jpg,71.46582
C:\Users\Suneel\Documents\TIHAN\eVerito\Lane\DataCollected/IMG18\Image_1652948666080133.jpg,70.849487
C:\Users\Suneel\Documents\TIHAN\eVerito\Lane\DataCollected/IMG18\Image_1652948666336236.jpg,75.952637
C:\Users\Suneel\Documents\TIHAN\eVerito\Lane\DataCollected/IMG18\Image_1652948666586523.jpg,76.567871
