Center,steering_val
C:\Users\Suneel\Documents\TIHAN\eVerito\Lane\DataCollected/IMG29\Image_1652949435661197.jpg,-62.811279
C:\Users\Suneel\Documents\TIHAN\eVerito\Lane\DataCollected/IMG29\Image_1652949435909771.jpg,-63.207886
C:\Users\Suneel\Documents\TIHAN\eVerito\Lane\DataCollected/IMG29\Image_165294943615881.jpg,-63.559448
C:\Users\Suneel\Documents\TIHAN\eVerito\Lane\DataCollected/IMG29\Image_1652949436409431.jpg,-62.987061
C:\Users\Suneel\Documents\TIHAN\eVerito\Lane\DataCollected/IMG29\Image_1652949436656173.jpg,-63.07605
C:\Users\Suneel\Documents\TIHAN\eVerito\Lane\DataCollected/IMG29\Image_1652949436909248.jpg,-63.647339
C:\Users\Suneel\Documents\TIHAN\eVerito\Lane\DataCollected/IMG29\Image_1652949437156837.jpg,-65.363403
C:\Users\Suneel\Documents\TIHAN\eVerito\Lane\DataCollected/IMG29\Image_1652949437408123.jpg,-73.192261
C:\Users\Suneel\Documents\TIHAN\eVerito\Lane\DataCollected/IMG29\Image_1652949437656424.jpg,-87.48877
C:\Users\Suneel\Documents\TIHAN\eVerito\Lane\DataCollected/IMG29\Image_1652949437904819.jpg,-105.260254
C:\Users\Suneel\Documents\TIHAN\eVerito\Lane\DataCollected/IMG29\Image_1652949438152276.jpg,-119.335937
C:\Users\Suneel\Documents\TIHAN\eVerito\Lane\DataCollected/IMG29\Image_1652949438399611.jpg,-139.370605
C:\Users\Suneel\Documents\TIHAN\eVerito\Lane\DataCollected/IMG29\Image_165294943864945.jpg,-143.857422
C:\Users\Suneel\Documents\TIHAN\eVerito\Lane\DataCollected/IMG29\Image_1652949438898256.jpg,-153.709961
C:\Users\Suneel\Documents\TIHAN\eVerito\Lane\DataCollected/IMG29\Image_1652949439147927.jpg,-159.032837
C:\Users\Suneel\Documents\TIHAN\eVerito\Lane\DataCollected/IMG29\Image_1652949439396564.jpg,-166.158569
C:\Users\Suneel\Documents\TIHAN\eVerito\Lane\DataCollected/IMG29\Image_1652949439644705.jpg,-171.701172
C:\Users\Suneel\Documents\TIHAN\eVerito\Lane\DataCollected/IMG29\Image_1652949439896953.jpg,-174.077515
C:\Users\Suneel\Documents\TIHAN\eVerito\Lane\DataCollected/IMG29\Image_1652949440146683.jpg,-175.177246
C:\Users\Suneel\Documents\TIHAN\eVerito\Lane\DataCollected/IMG29\Image_16529494403949.jpg,-180.279297
C:\Users\Suneel\Documents\TIHAN\eVerito\Lane\DataCollected/IMG29\Image_1652949440644046.jpg,-193.651855
C:\Users\Suneel\Documents\TIHAN\eVerito\Lane\DataCollected/IMG29\Image_1652949440891685.jpg,-197.699219
C:\Users\Suneel\Documents\TIHAN\eVerito\Lane\DataCollected/IMG29\Image_1652949441137111.jpg,-197.082886
C:\Users\Suneel\Documents\TIHAN\eVerito\Lane\DataCollected/IMG29\Image_1652949441383417.jpg,-196.687378
C:\Users\Suneel\Documents\TIHAN\eVerito\Lane\DataCollected/IMG29\Image_1652949441631662.jpg,-196.994995
C:\Users\Suneel\Documents\TIHAN\eVerito\Lane\DataCollected/IMG29\Image_1652949441880809.jpg,-197.699219
C:\Users\Suneel\Documents\TIHAN\eVerito\Lane\DataCollected/IMG29\Image_1652949442129722.jpg,-198.314453
C:\Users\Suneel\Documents\TIHAN\eVerito\Lane\DataCollected/IMG29\Image_165294944238054.jpg,-197.831055
C:\Users\Suneel\Documents\TIHAN\eVerito\Lane\DataCollected/IMG29\Image_1652949442631512.jpg,-196.907104
C:\Users\Suneel\Documents\TIHAN\eVerito\Lane\DataCollected/IMG29\Image_1652949442881246.jpg,-196.599487
C:\Users\Suneel\Documents\TIHAN\eVerito\Lane\DataCollected/IMG29\Image_1652949443128718.jpg,-197.170776
C:\Users\Suneel\Documents\TIHAN\eVerito\Lane\DataCollected/IMG29\Image_1652949443379851.jpg,-194.751587
C:\Users\Suneel\Documents\TIHAN\eVerito\Lane\DataCollected/IMG29\Image_1652949443627453.jpg,-189.869263
C:\Users\Suneel\Documents\TIHAN\eVerito\Lane\DataCollected/IMG29\Image_1652949443875974.jpg,-165.982788
C:\Users\Suneel\Documents\TIHAN\eVerito\Lane\DataCollected/IMG29\Image_1652949444127059.jpg,-137.390869
C:\Users\Suneel\Documents\TIHAN\eVerito\Lane\DataCollected/IMG29\Image_1652949444376325.jpg,-91.667969
C:\Users\Suneel\Documents\TIHAN\eVerito\Lane\DataCollected/IMG29\Image_1652949444627594.jpg,-58.765015
C:\Users\Suneel\Documents\TIHAN\eVerito\Lane\DataCollected/IMG29\Image_1652949444877796.jpg,-14.072632
C:\Users\Suneel\Documents\TIHAN\eVerito\Lane\DataCollected/IMG29\Image_1652949445130693.jpg,28.903687
C:\Users\Suneel\Documents\TIHAN\eVerito\Lane\DataCollected/IMG29\Image_165294944537932.jpg,65.394775
C:\Users\Suneel\Documents\TIHAN\eVerito\Lane\DataCollected/IMG29\Image_1652949445628345.jpg,73.04895
C:\Users\Suneel\Documents\TIHAN\eVerito\Lane\DataCollected/IMG29\Image_1652949445880443.jpg,79.16394
C:\Users\Suneel\Documents\TIHAN\eVerito\Lane\DataCollected/IMG29\Image_1652949446131808.jpg,94.29541
C:\Users\Suneel\Documents\TIHAN\eVerito\Lane\DataCollected/IMG29\Image_1652949446381802.jpg,98.430664
C:\Users\Suneel\Documents\TIHAN\eVerito\Lane\DataCollected/IMG29\Image_1652949446633618.jpg,96.934326
C:\Users\Suneel\Documents\TIHAN\eVerito\Lane\DataCollected/IMG29\Image_1652949446881956.jpg,95.967529
C:\Users\Suneel\Documents\TIHAN\eVerito\Lane\DataCollected/IMG29\Image_1652949447134078.jpg,75.292358
